titre,date,editeur,fichier
Salt and fishery [microform],1682,"London : Printed by A. Godbid and J. Playford, and are to be sold by Mr. Robert Horne at the Royal Exchange, in St. Pauls Church-yard, Mr. William Bury, Globe-maker ...",1682_Saltandfisherymicrof.txt
"The art of cookery : in imitation of Horace's Art of poetry : with some letters to Dr. Lister, and others : occasion'd principally by the title of a book publish'd by the doctor, being the works of Apicius Coelius, concerning the soups and sauces of the antients : with an extract of the greatest curiosities contain'd in that book : to which is added Horace's Art of poetry, in Latin",1708,London : Printed for Bernard Lintott ...,1708_Theartofcookeryinimi.txt
"The compleat city and country cook, or, Accomplish'd housewife : containing several hundred of the most approv'd receipts in cookery, confectionary, cordials, cosmeticks, jellies, pastry, pickles, preserving, syrups, English wines, &c., illustrated with forty-nine large copper plates directing the regular placing [of] the various dishes on the table from one to four or five courses, also, bills of fare according to the several seasons for every month of the year : likewise, the horse-shoe shaped table for the ladies at the late installment at Windsor ...",1732,London : Printed for A. Bettesworth and C. Hitch and C. Davis ... T. Green ... and S. Austen ...,1732_Thecompleatcityandco.txt
"The country housewife and lady's director, in the management of a house, and the delights and profits of a farm : containing instructions for managing the brew-house, and malt-liquors in the cellar ; the making of wines of all sorts : directions for the dairy, in the improvement of butter and cheese upon the worst of soils ; the feeding and making of brawn ; the ordering of fish, fowl, herbs, roots, and all other useful branches belonging to a country-seat, in the most elegant manner for the table. Practical observations concerning distilling ; with the best method of making ketchup, and many others..",1732,London : Printed for D. Browne ...,1732_Thecountryhousewifea.txt
"The compleat city and country cook, or, Accomplish'd housewife : containing several hundred of the most approv'd receipts in cookery, confectionary, cordials, cosmeticks, jellies, pastry, pickles, preserving, syrups, English wines, &c., illustrated with forty-nine large copper plates directing the regular placing [of] the various dishes on the table from one to four or five courses, also, bills of fare according to the several seasons for every month of the year : likewise, the horse-shoe shaped table for the ladies at the late installment at Windsor ...",1732,London : Printed for A. Bettesworth and C. Hitch and C. Davis ... T. Green ... and S. Austen ...,1732_Thecompleatcityandco.txt
"A collection of above three hundred receipts in cookery, physick, and surgery : for the use of all good wives, tender mothers, and careful nurses",1734,"London : Printed for the executrix of Mary Kettilby, and sold by W. Parker ...",1734_Acollectionofaboveth.txt
"The whole duty of a woman, or, An infallible guide to the fair sex : containing rules, directions, and observations, for their conduct and behavior through all ages and circumstances of life, as virgins, wives, or widows : with ... rules and receipts in every kind of cookery ..",1737,London : Printed for T. Reed ...,1737_Thewholedutyofawoman.txt
The Art Of Cookery,1747,,1747_TheArtOfCookery.txt
"The lady's companion. : Containing upwards of three thousand different receipts in every kind of cookery: and those the best and most fashionable; being four times the quantity of any book of this sort ... To which is added, bills of fare for every month in the year. Also, directions for brewing beers, ales, &c., making all sorts of English wines, cyder, mum, metheglin, vinegar, verjuice, catchup, &c.",1753,London: : Printed for J. Hodges ... and R. Baldwin...,1753_TheladyscompanionCon.txt
"Cookery reformed; or, The Lady's assistant. Containing a select number of the best and most approved receipts in cookery ... together with a distinct account of the nature of ailments ... To which is added the Family physician",1755,London : Printed for P. Davey and B. Law,1755_CookeryreformedorThe.txt
"The art of confectionary. Shewing the various methods of preserving all sorts of fruits, dry and liquid; viz. oranges, lemons, citrons, golden pippins, wardens, apricots green, almonds, gooseberries, cherries, currants, plumbs, raspberies, peaches, walnuts, nectarines, figs, grapes. &c. Flowers and herbs; as violets, angelica, orange-flowers, &c. also how to make all sorts of biscakes, maspins, sugar-works, and candies, with the best methods of clarifying, and the different ways of boiling sugar",1761,"London, Printed for T. Payne",1761_Theartofconfectionar.txt
"A treatise on the Ananas or pine-apple : containing plain and easy directions for raising this most excellent fruit without fire, and in much higher perfection than from the stove : illustrated with an elegant copper plate in which is exhibited the new invented pine-frame &c., peculiarly adapted for that use, with another shewing the fruit colour'd from nature : to which are added full directions for raising melons",1769,"Devizes : Printed by T. Burrough for the author and sold by Messrs. Robinson and Roberts [and 15 others], ; London : [and elsewhere]",1769_AtreatiseontheAnanas.txt
"The Art of Cookery, Made Plain and Easy: To which are Added One Hundred and ...",1774,"Printed for Alexander Donaldson, sold at his shop ...",1774_TheArtofCookeryMadeP.txt
"The professed cook; or, The modern art of cookery, pastry, and confectionary, made plain and easy. Consisting of the most approved methods in the French as well as English cookery. In which the French names of all the different dishes are given and explained, whereby every bill of fare becomes intelligible and familiar. Containing I. Of soups, gravy, cullis and broths ... XXII. Ratafias, and other cordials, &c. Including a translation of Les soupers de la cour; with the addition of the best receipts which have ever appeared in the French or English languages, and adapted to the London markets",1776,London : W. Davis,1776_TheprofessedcookorTh.txt
"A General dictionary of husbandry, planting, gardening, and the vegetable part of the materia medica",1779,"Bath Printed by R. Cruttwell, and sold by W. Goldsmith",1779_AGeneraldictionaryof.txt
"A General dictionary of husbandry, planting, gardening, and the vegetable part of the materia medica",1779,"Bath Printed by R. Cruttwell, and sold by W. Goldsmith",1779_AGeneraldictionaryof.txt
The Art of Cookery Made Plain and Easy: Which Far Exceeds Any Thing of the ...,1784,Printed for W. Strahan [and 25 others],1784_TheArtofCookeryMadeP.txt
The lady's assistant for regulating and supplying the table : being a complete system of cookery ... including the fullest and choicest receipts of various kinds ...,1787,London : J. Walter,1787_Theladysassistantfor.txt
The Homemaker's comrade [microform] : a cook book of home tested recipes,1800,[S.l. : s.n.],1800_TheHomemakerscomrade.txt
Diamond Dye cook book no. 3 [microform],1800,Montreal : Wells Richardson,1800_DiamondDyecookbookno.txt
"Practical œconomy, or, A proposal for enabling the poor to provide for themselves : with remarks on the establishment of soup houses : and an investigation of the real cause of the present extravagant consumption of fine wheaten bread by the people of this country",1801,London : J. Callow,1801_PracticalconomyorApr.txt
The Art of Cookery Made Easy and Refined: Comprising Ample Directions for ...,1802,"Printed for the author , and sold by J. Nunn",1802_TheArtofCookeryMadeE.txt
"The art of cookery made easy and refined: comprising ample directions for preparing every article requisite for furnishing the tables of the nobleman, gentleman, and tradesman",1802,"London, Printed for the author, and sold by J. Nunn",1802_Theartofcookerymadee.txt
"Culina famulatrix medicinæ; or, Receipts in modern cookery;",1806,"York, Wilson and Spence;",1806_Culinafamulatrixmedi.txt
"The complete confectioner, or, The whole art of confectionary made easy:",1807,,1807_Thecompleteconfectio.txt
"The complete confectioner : or, The whole art of confectionary made easy: containing, among a variety of useful matter, the art of making the various kinds of biscuits, drops ... as also the most approved method of making cheeses, puddings, cakes &c. in 250 cheap and fashionable receipts. The result of many years experience with the celebrated Negri and Witten.",1807,"London printed: New York : reprinted, for Richard Scott and sold at his bookstore, no. 243 Pearl-street",1807_Thecompleteconfectio.txt
"A new system of domestic cookery : formed upon principles of economy, and adapted to the use of private families.",1807,Phila. : B.C. Buzby,1807_Anewsystemofdomestic.txt
"A new system of domestic cookery, formed upon principles of economy, and adapted to the use of private families",1807,"Boston, W. Andrews",1807_Anewsystemofdomestic.txt
"A new system of domestic cookery : formed upon principles of economy, and adapted to the use of private families",1807,Boston : Andrews & Cummings,1807_Anewsystemofdomestic.txt
A new system of domestic cookery. By a lady [M.E. Rundell].,1808,,1808_Anewsystemofdomestic.txt
The art of cookery made easy and refined ..,1808,"London, Longman",1808_Theartofcookerymadee.txt
